NOP: 1000
NINT: 132
0 7 67
7 16 68
16 23 69
23 30 70
30 36 71
36 42 72
42 48 73
48 54 74
54 61 75
61 68 76
68 76 77
76 83 78
83 88 79
88 95 80
95 100 81
100 108 82
108 115 83
115 124 84
124 134 85
134 139 86
139 148 87
148 157 88
157 164 89
164 171 90
171 179 91
179 185 92
185 193 93
193 198 94
198 203 95
203 210 96
210 218 97
218 225 98
225 230 99
230 237 100
237 244 99
244 253 98
253 260 97
260 265 96
265 272 95
272 277 94
277 284 93
284 291 92
291 302 91
302 308 90
308 315 89
315 322 88
322 330 87
330 337 86
337 343 85
343 349 84
349 356 83
356 363 82
363 370 81
370 378 80
378 385 79
385 392 78
392 398 77
398 405 76
405 413 75
413 418 74
418 426 73
426 435 72
435 442 71
442 447 70
447 452 69
452 459 68
459 466 67
466 474 66
474 481 65
481 488 64
488 494 63
494 499 62
499 505 61
505 513 60
513 519 59
519 526 58
526 531 57
531 540 56
540 549 55
549 557 54
557 563 53
563 568 52
568 574 51
574 581 50
581 588 49
588 595 48
595 603 47
603 611 46
611 619 45
619 625 44
625 630 43
630 637 42
637 644 41
644 652 40
652 657 39
657 663 38
663 669 37
669 674 36
674 679 35
679 684 34
684 690 33
690 695 32
695 700 31
700 706 30
706 713 29
713 719 28
719 725 27
725 733 26
733 742 25
742 749 24
749 757 23
757 765 22
765 773 21
773 780 20
780 785 19
785 792 18
792 800 17
800 805 16
805 811 15
811 818 14
818 826 13
826 832 12
832 840 11
840 847 10
847 854 9
854 861 8
861 867 7
867 875 6
875 881 5
881 889 4
889 894 3
894 300000 2
1 64 847
2 61 364
3 26 684
4 37 783
5 90 460
6 38 163
7 66 204
8 34 864
9 20 33
10 58 420
11 99 149
12 99 755
13 65 909
14 53 821
15 83 917
16 92 758
17 26 511
18 44 413
19 62 499
20 57 323
21 96 612
22 59 372
23 52 169
24 90 818
25 93 671
26 79 523
27 24 557
28 31 354
29 22 746
30 57 87
31 84 420
32 76 599
33 45 577
34 35 749
35 63 503
36 87 277
37 65 287
38 51 194
39 73 120
40 93 570
41 22 196
42 49 750
43 37 83
44 20 125
45 30 109
46 51 386
47 56 220
48 98 489
49 76 111
50 51 741
51 58 98
52 57 590
53 95 717
54 75 178
55 83 442
56 87 878
57 28 300
58 51 648
59 60 551
60 53 694
61 97 445
62 76 592
63 87 458
64 45 51
65 69 169
66 55 627
67 34 71
68 80 170
69 28 920
70 53 72
71 98 276
72 77 716
73 54 670
74 96 594
75 62 248
76 36 426
77 60 297
78 77 298
79 29 551
80 95 479
81 76 677
82 90 144
83 40 737
84 67 875
85 45 180
86 31 602
87 74 835
88 78 225
89 40 255
90 21 923
91 27 679
92 72 714
93 57 419
94 38 362
95 27 502
96 21 76
97 34 901
98 59 305
99 58 653
100 80 836
101 63 150
102 77 242
103 42 282
104 49 279
105 55 517
106 59 736
107 70 624
108 80 138
109 50 700
110 81 375
111 28 260
112 43 124
113 59 862
114 84 311
115 80 754
116 78 466
117 33 804
118 47 245
119 46 640
120 46 574
121 60 132
122 73 664
123 51 750
124 53 916
125 79 541
126 70 897
127 92 333
128 81 120
129 42 467
130 99 453
131 61 883
132 59 605
133 25 821
134 81 829
135 55 283
