	MA_SCP_Best	MA_SCP_Avg	MA_iSCP_Best	MA_iSCP_Avg	MA_SCP+_Best	MA_SCP+_Avg	MA_CB_Best	MA_CB_Avg	MA_ICP_Best	MA_ICP_Avg	MA_HYB_Best	MA_HYB_Avg	CPO_Best	CPO_Avg
i120_3_1	848	860.50	848	856.33	848	855.93	848	854.30	848	857.40	848	848.00	951	951.00
i120_3_2	3570	3581.43	3570	3580.33	3569	3577.17	3569	3574.73	3570	3597.87	3568	3568.97	3834	3834.00
i120_3_3	2410	2410.70	2410	2411.10	2410	2410.50	2410	2410.20	2410	2410.13	2410	2410.00	2410	2410.00
i120_3_4	1019	1029.60	1019	1019.00	1019	1019.00	1019	1019.00	1023	1064.60	1019	1019.00	1059	1061.67
i120_3_5	3858	3874.80	3858	3870.97	3858	3870.13	3858	3863.97	3880	3888.13	3858	3862.53	3951	3951.00
i120_3_6	3120	3124.87	3120	3121.83	3120	3121.60	3120	3121.30	3120	3148.63	3120	3120.00	3258	3258.00
i120_3_7	720	725.47	720	720.50	720	720.13	720	720.00	721	781.00	720	720.00	730	730.00
i120_3_8	4084	4091.87	4084	4084.00	4084	4084.00	4084	4084.00	4084	4091.57	4084	4084.00	4095	4095.00
i120_3_9	1663	1665.07	1663	1663.00	1663	1663.00	1663	1663.00	1663	1663.00	1663	1663.00	1690	1690.70
i120_3_10	1268	1271.60	1268	1268.03	1268	1268.03	1268	1268.00	1268	1334.00	1268	1268.00	1326	1326.00
i120_5_1	1030	1036.20	1030	1030.00	1030	1030.00	1030	1030.00	1030	1040.23	1030	1030.00	1054	1054.00
i120_5_2	1511	1522.70	1511	1518.93	1511	1518.93	1511	1516.27	1511	1537.43	1511	1511.03	1673	1673.00
i120_5_3	959	963.20	959	959.00	959	959.00	959	959.00	959	964.20	959	959.00	999	999.00
i120_5_4	496	496.00	496	496.00	496	496.00	496	496.00	496	496.00	496	496.00	496	496.00
